Class,Student,Number1,Macro1,Mid1,Micro1,Overall1,Number2,Macro2,Mid2,Micro2,Overall2
1,1,7,2,2,2,2,6,2,3,3,2
1,2,8,1,2,2,1,0,2,2,3,2
1,3,8,3,1,3,2,0,2,3,3,2
1,4,7,2,3,3,2,3,2,2,2,2
1,5,7,3,3,4,3,5,4,4,3,4
1,6,12,3,3,3,3,5,3,4,3,3
1,7,8,2,1,1,1,0,3,2,3,3
1,8,7,1,2,3,2,3,3,4,4,3
1,9,7,3,2,3,3,1,2,2,3,2
1,10,8,3,3,3,3,9,3,3,4,3
1,11,5,2,3,3,2,5,3,3,2,3
1,12,8,2,1,2,2,6,3,1,2,2
1,13,21,1,1,2,1,5,2,1,2,2
1,14,11,4,3,3,3,7,4,3,3,4
1,15,3,2,3,3,2,4,3,3,4,3
1,16,12,2,2,2,2,5,2,2,2,2
2,17,7,1,2,2,1,10,2,2,3,2
2,18,10,1,2,3,1,10,1,1,2,1
2,19,9,2,2,3,2,9,3,3,2,3
2,20,14,2,3,3,2,5,3,2,3,3
2,21,14,2,3,3,2,8,3,3,4,3
2,22,7,3,3,3,3,8,2,3,3,2
2,23,9,2,2,2,2,6,2,2,2,2
2,24,13,2,2,2,2,2,3,2,3,3
2,25,7,3,3,4,3,6,3,2,4,3
2,26,9,2,3,4,2,14,3,3,4,3